vehicle reg no,trip id,route description,mapper,company,date mapped,start coordinate,end coordinate,distance,start time,travel time,revenue,on/off discrepancy,fares,number of stops,total passengers,gps loss (km),city,route_id,direction,origin,destination,interval,travel_time_min,speed,hour,peak period
RP216,30515977,MAS001_F_Maseru Town Center_Khubetsoana,Nthabeleng  Fosa,Maseru_Association_Test,2020-12-09,"27.517815, -29.293602","27.537443, -29.283434",2.81,10:37:43,0:06,16.0,0,8,3,2,0.0,Maseru,MAS001,F,Maseru Town Center,Khubetsoana,2021-01-08 10:45:00,6,28.1,10,peak
R6653,30515988,MAS010_F_Maseru Town Center_Main North 1,Tumelo  Makhopo,Maseru_Association_Test,2020-12-09,"27.476856, -29.299587","27.476852, -29.299587",0.0,10:29:12,0:00,7.5,1,7.5,1,1,0.0,Maseru,MAS010,F,Maseru Town Center,Main North 1,2021-01-08 10:30:00,0,0.0,10,peak
A74BBC,30516175,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,2020-12-09,"27.475136, -29.372906","27.458599, -29.356977",5.66,10:32:42,0:10,40.0,4,8,5,5,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:30:00,10,33.96,10,peak
RK684,30516542,MAS003_F_Maseru Town Center_Tsosane,Ntebeli  Maphalane,Maseru_Association_Test,2020-12-09,"27.495817, -29.313366","27.555668, -29.297382",8.3,10:21:10,0:24,32.0,0,8,4,4,0.0,Maseru,MAS003,F,Maseru Town Center,Tsosane,2021-01-08 10:15:00,24,20.750000000000004,10,peak
G43BBC,30516712,MAS005_R_Maseru Town Center_Abia,limpho khoabane,Maseru_Association_Test,2020-12-09,"27.530024, -29.381775","27.519787, -29.350143",4.38,10:36:12,0:02,67.5,9,7.5,4,9,0.0,Maseru,MAS005,R,Maseru Town Center,Abia,2021-01-08 10:30:00,2,131.4,10,peak
RZ434,30517040,MAS008_R_Maseru Town Center_Leqele,Mamahlabe Tsehlo,Maseru_Association_Test,2020-12-09,"27.525984, -29.345907","27.483536, -29.313721",7.9,10:25:11,0:21,34.0,0,"8.00, 5.00",8,5,0.0,Maseru,MAS008,R,Maseru Town Center,Leqele,2021-01-08 10:30:00,21,22.57142857142857,10,peak
RH955,30517264,MAS002_F_Maseru Town Center_Naleli,Thato,Maseru_Association_Test,2020-12-09,"27.546797, -29.287405","27.489283, -29.316341",8.04,10:26:42,0:19,8.0,0,8,2,1,0.0,Maseru,MAS002,F,Maseru Town Center,Naleli,2021-01-08 10:30:00,19,25.389473684210525,10,peak
A5647,30517300,MAS010_R_Maseru Town Center_Main North 1,Tseliso Tjootji,Maseru_Association_Test,2020-12-09,"27.487354, -29.314476","27.493572, -29.312613",0.7,10:42:05,0:06,8.0,0,8,2,1,0.0,Maseru,MAS010,R,Maseru Town Center,Main North 1,2021-01-08 10:45:00,6,6.999999999999999,10,peak
A5409,30517488,MAS003_F_Maseru Town Center_Tsosane,Lebohang Sehloho,Maseru_Association_Test,2020-12-09,"27.509655, -29.311325","27.541128, -29.313272",4.01,10:39:02,0:11,32.0,0,8,5,4,0.0,Maseru,MAS003,F,Maseru Town Center,Tsosane,2021-01-08 10:45:00,11,21.87272727272727,10,peak
RZ434,30517530,MAS011_F_Maseru Town Center_Main South 1,Mamahlabe Tsehlo,Maseru_Association_Test,2020-12-09,"27.487066, -29.314642","27.491146, -29.315571",0.46,10:48:30,0:02,8.0,0,8,2,1,0.0,Maseru,MAS011,F,Maseru Town Center,Main South 1,2021-01-08 10:45:00,2,13.8,10,peak
RY137,30517820,MAS011_F_Maseru Town Center_Main South 1,Thato Sekeleme,Maseru_Association_Test,2020-12-09,"27.512920, -29.365414","27.496054, -29.319233",7.18,10:33:31,0:18,32.0,0,8,2,4,0.0,Maseru,MAS011,F,Maseru Town Center,Main South 1,2021-01-08 10:30:00,18,23.93333333333333,10,peak
RP216,30517965,MAS002_F_Maseru Town Center_Naleli,Nthabeleng  Fosa,Maseru_Association_Test,2020-12-09,"27.542406, -29.283222","27.572950, -29.267082",4.01,10:45:29,0:07,8.0,0,8,2,1,0.0,Maseru,MAS002,F,Maseru Town Center,Naleli,2021-01-08 10:45:00,7,34.371428571428574,10,peak
R6653,30517973,MAS010_F_Maseru Town Center_Main North 1,Tumelo  Makhopo,Maseru_Association_Test,2020-12-09,"27.476847, -29.299589","27.476847, -29.299589",0.0,10:45:48,0:00,7.5,1,7.5,1,1,0.0,Maseru,MAS010,F,Maseru Town Center,Main North 1,2021-01-08 10:45:00,0,0.0,10,peak
RK684,30518125,MAS003_R_Maseru Town Center_Tsosane,Ntebeli  Maphalane,Maseru_Association_Test,2020-12-09,"27.551668, -29.300768","27.536646, -29.314735",2.67,10:47:03,0:06,8.0,0,8,2,1,0.0,Maseru,MAS003,R,Maseru Town Center,Tsosane,2021-01-08 10:45:00,6,26.7,10,peak
A679BBC,30518485,MAS007_F_Maseru Town Center_Pita,Khopotso Shoaepane,Maseru_Association_Test,2020-12-09,"27.494177, -29.316919","27.515215, -29.367836",8.4,10:33:37,0:23,40.0,0,8,6,5,0.0,Maseru,MAS007,F,Maseru Town Center,Pita,2021-01-08 10:30:00,23,21.91304347826087,10,peak
M6587,30518597,MAS011_F_Maseru Town Center_Main South 1,Mojabeng Mabitle,Maseru_Association_Test,2020-12-09,"27.498337, -29.340061","27.505068, -29.354897",2.58,10:51:22,0:05,32.0,0,8,4,4,0.0,Maseru,MAS011,F,Maseru Town Center,Main South 1,2021-01-08 10:45:00,5,30.96,10,peak
A74BBC,30519031,MAS012_F_Maseru Town Center_Thetsane,Bokang Mokoena,Maseru_Association_Test,2020-12-09,"27.471643, -29.338074","27.480978, -29.313524",3.63,10:49:58,0:07,32.0,2,8,4,4,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:45:00,7,31.114285714285717,10,peak
R6653,30519043,MAS010_F_Maseru Town Center_Main North 1,Tumelo  Makhopo,Maseru_Association_Test,2020-12-09,"27.476847, -29.299585","27.476847, -29.299585",0.0,10:57:33,0:00,7.5,1,7.5,1,1,0.0,Maseru,MAS010,F,Maseru Town Center,Main North 1,2021-01-08 11:00:00,0,0.0,10,peak
A32BBC,30519393,MAS012_F_Maseru Town Center_Thetsane,Mathato Molise,Maseru_Association_Test,2020-12-09,"27.491791, -29.312643","27.439880, -29.343609",9.08,10:37:35,0:22,40.0,0,8,8,5,0.0,Maseru,MAS012,F,Maseru Town Center,Thetsane,2021-01-08 10:45:00,22,24.76363636363636,10,peak
RR198,30519866,MAS002_R_Maseru Town Center_Naleli,Mafusi Sakoane,Maseru_Association_Test,2020-12-09,"27.537893, -29.296665","27.467287, -29.304256",11.68,10:21:59,0:36,64.0,0,8,10,8,0.0,Maseru,MAS002,R,Maseru Town Center,Naleli,2021-01-08 10:15:00,36,19.466666666666665,10,peak
RY137,30519927,MAS011_R_Maseru Town Center_Main South 1,Thato Sekeleme,Maseru_Association_Test,2020-12-09,"27.492619, -29.313622","27.491360, -29.315731",0.66,10:58:30,0:04,8.0,0,8,2,1,0.0,Maseru,MAS011,R,Maseru Town Center,Main South 1,2021-01-08 11:00:00,4,9.9,10,peak
RZ434,30520160,MAS007_F_Maseru Town Center_Pita,Mamahlabe Tsehlo,Maseru_Association_Test,2020-12-09,"27.494045, -29.316702","27.495813, -29.349735",5.09,10:51:57,0:15,24.0,0,8,2,3,0.0,Maseru,MAS007,F,Maseru Town Center,Pita,2021-01-08 10:45:00,15,20.36,10,peak
